1468858963,24,52
1468857163,23,48
1468856875,24,44
1468855074,25,40
1468853274,24,36
1468851474,25,50
1468849674,26,53
1468847874,25,56
1468846074,25,59
1468844274,24,62
1468842474,25,65
1468840675,26,68
1468838875,25,71
1468837074,26,69
1468835274,27,67
1468833475,26,65
1468831675,26,63
1468829875,25,61
1468828075,26,59
1468826275,27,57
1468824474,26,55
1468822674,27,53
1468820874,28,51
1468819074,27,49
1468817274,27,47
1468815474,26,45
1468813674,27,43
1468811874,28,41
1468810074,27,39
1468808275,28,37
1468806474,29,35
